,p,time,seq,speedup,eficiencia
0,1,10.99,10.99,1.0,1.0
1,2,10.84,10.99,1.0138376383763839,0.5069188191881919
2,6,10.0,10.99,1.099,0.18316666666666667
3,10,9.19,10.99,1.1958650707290535,0.11958650707290534
4,14,8.42,10.99,1.3052256532066508,0.09323040380047506
5,18,7.67,10.99,1.4328552803129075,0.07960307112849486
6,22,6.71,10.99,1.6378539493293591,0.07444790678769814
7,26,5.84,10.99,1.8818493150684932,0.07237881981032666
8,30,5.03,10.99,2.1848906560636183,0.07282968853545395
9,34,4.43,10.99,2.4808126410835216,0.07296507767892711
10,38,3.39,10.99,3.24188790560472,0.08531283962117683
11,42,2.72,10.99,4.040441176470588,0.09620098039215685
12,46,1.94,10.99,5.664948453608248,0.12315105333930973
